nct_id,phase,start_date,enrollment_type,American Indian/ Alaska Native,Asian/ Asian Heritage,Black/ Black Heritage,Hawaiian/ Other Pacific Islander,Hispanic/ Latino,Middle Eastern,Mixed,Other,Unknown or Not Reported,White/ White Heritage
NCT01339559,Phase 3,11/05/2011,Actual,,85,37,,,,,77,6,561
NCT01343043,Phase 1,27/09/2012,Actual,,2,6,,,,,,6,86
NCT01345019,Phase 3,17/05/2012,Actual,6,416,130,2,140,,2,58,14,6104
NCT01348763,Phase 1,31/10/2011,Actual,0,0,3,0,,,0,,0,8
NCT01348828,Not Applicable,19/10/2011,Actual,,,,,7,,,,0,42
NCT01353118,Not Applicable,31/05/2011,Actual,,,,,0,,,,0,82
NCT01353586,Phase 2,01/03/2011,Actual,0,0,0,0,0,,0,,224,496
NCT01355159,Phase 3,30/04/2011,Actual,118,352,400,,106,,,,36,3914
NCT01358266,Phase 3,31/05/2011,Actual,16,450,84,4,,,36,,52,542
NCT01358578,Phase 3,30/06/2011,Actual,204,582,16,6,,,38,,6,1760
NCT01367236,Phase 4,31/01/2013,Actual,0,0,22,0,,,8,,0,90
NCT01371825,Phase 2/Phase 3,04/05/2011,Actual,0,1,1,0,0,,0,,6,10
NCT01376310,Phase 2,02/11/2010,Actual,,8,18,,,,4,,,288
NCT01376323,Phase 2,13/07/2011,Actual,0,2,10,0,,,2,,0,174
NCT01380535,Early Phase 1,30/11/2011,Actual,,,,,8,,,,16,96
NCT01380990,Phase 1/Phase 2,15/11/2012,Actual,,4,,,,,,12,36,20
NCT01381874,Phase 2,24/08/2011,Actual,0,14,0,0,6,,4,,134,1030
NCT01382602,Phase 3,04/11/2011,Actual,0,4,4,0,,,2,,0,276
NCT01387282,Phase 3,31/07/2011,Actual,0,2,6,2,,,0,,4,976
NCT01394952,Phase 3,22/07/2011,Actual,2184,868,1354,68,248,,332,,17950,16600
NCT01399593,Phase 2,02/11/2011,Actual,0,10,24,0,,,0,,24,146
